dep_lat,dep_lon,arr_lat,arr_lon,nb_flights
37.619,-122.37484,36.08036,-115.15233,7995
37.619,-122.37484,36.28187,-94.30681,51
37.619,-122.37484,36.58698,-121.84295,816
37.619,-122.37484,36.77619,-119.71814,871
37.619,-122.37484,37.62405,-118.83777,146
37.619,-122.37484,38.50887,-107.89383,29
37.619,-122.37484,38.69542,-121.59077,1623
37.619,-122.37484,38.74769000000001,-90.35999,884
37.619,-122.37484,38.80581,-104.70025,5
37.619,-122.37484,38.85208,-77.03772,664
37.619,-122.37484,38.94453,-77.45581,3478
37.619,-122.37484,39.04614,-84.66216999999997,230
37.619,-122.37484,39.1754,-76.6682,294
37.619,-122.37484,39.22316,-106.86885,202
37.619,-122.37484,39.29761,-94.71391,576
37.619,-122.37484,39.49858,-119.76806,1606
37.619,-122.37484,39.71733,-86.29438,314
37.619,-122.37484,39.85841,-104.667,5066
37.619,-122.37484,39.87195,-75.24114,2090
37.619,-122.37484,40.48118,-107.21766,14
37.619,-122.37484,40.49147,-80.23286999999998,268
37.619,-122.37484,40.50898,-122.2934,727
37.619,-122.37484,40.63975,-73.77893,8440
37.619,-122.37484,40.6925,-74.16866,5025
37.619,-122.37484,40.78839,-111.97777,3249
37.619,-122.37484,40.97812,-124.10862,1319
37.619,-122.37484,41.30252,-95.89417,1
37.619,-122.37484,41.41089,-81.8494,447
37.619,-122.37484,41.78016,-124.23653,190
37.619,-122.37484,41.78598,-87.75242,768
37.619,-122.37484,41.9796,-87.90446,7380
37.619,-122.37484,42.21206,-83.34884,1308
37.619,-122.37484,42.36435,-71.00518000000002,3907
37.619,-122.37484,42.37423,-122.8735,1296
37.619,-122.37484,42.94722,-87.89658,380
37.619,-122.37484,43.13986,-89.33751,2
37.619,-122.37484,43.41714,-124.24603,248
37.619,-122.37484,43.50484,-114.29659,170
37.619,-122.37484,43.56444000000001,-116.22278,1403
37.619,-122.37484,43.60732,-110.73774,169
37.619,-122.37484,44.12326,-123.21869,1864
37.619,-122.37484,44.25407,-121.14996,834
37.619,-122.37484,44.88055,-93.21692,2449
37.619,-122.37484,45.58872,-122.5975,4197
37.619,-122.37484,45.7769,-111.15301,182
37.619,-122.37484,46.26468,-119.11903,365
37.619,-122.37484,46.91631,-114.09056,47
37.619,-122.37484,47.44898,-122.30931,6932
37.619,-122.37484,61.17432,-149.99618999999996,162
37.62405,-118.83777,37.619,-122.37484,146
37.62405,-118.83777,39.85841,-104.667,10
37.72129,-122.22072,19.73877,-156.04563000000005,335
37.72129,-122.22072,20.89865,-156.43046,668
37.72129,-122.22072,21.31869,-157.92241,522
37.72129,-122.22072,21.97598,-159.33896,191
37.72129,-122.22072,26.07258,-80.15275,1
37.72129,-122.22072,29.64542,-95.27889,632
37.72129,-122.22072,29.98047,-95.33972,179
37.72129,-122.22072,29.99339,-90.25803,177
37.72129,-122.22072,30.19453,-97.66987,336
37.72129,-122.22072,32.73356,-117.18966,3540
37.72129,-122.22072,32.84711,-96.85177,593
37.72129,-122.22072,32.89595,-97.0372,335
37.72129,-122.22072,33.43417,-112.00806,2532
37.72129,-122.22072,33.640440000000005,-84.42694,64
37.72129,-122.22072,33.67566,-117.86822,2471
37.72129,-122.22072,33.81772,-118.15161,1002
37.72129,-122.22072,33.94254,-118.40807,6281
37.72129,-122.22072,34.056,-117.60119,2144
37.72129,-122.22072,34.20062,-118.3585,3734
37.72129,-122.22072,35.04022,-106.60918999999998,796
37.72129,-122.22072,36.08036,-115.15233,3493
37.72129,-122.22072,36.12448,-86.67818,177
37.72129,-122.22072,39.1754,-76.6682,324
37.72129,-122.22072,39.29761,-94.71391,296
